category,n_images,pct,cum_pct
mouse,1223161,49.84681152805399,49.84681152805399
possum,166250,6.775095360740717,56.621906888794705
rat,134900,5.497505949858182,62.119412838652885
robin,107852,4.3952335930623025,66.51464643171519
cat,94080,3.833990806246536,70.34863723796173
stoat,73278,2.9862582727480196,73.33489551070974
kea,54790,2.232826916180354,75.5677224268901
thrush,50188,2.0452841261043915,77.61300655299449
deer,47277,1.9266537345548203,79.53966028754931
kiwi,47211,1.9239640726371727,81.46362436018649
blackbird,42437,1.7294118605940079,83.1930362207805
hedgehog,40349,1.6443207381084342,84.83735695888893
tomtit,39642,1.6155087536269683,86.4528657125159
wallaby,33456,1.3634140775274672,87.81627979004337
rifleman,27315,1.113153261826362,88.92943305186972
rabbit,25096,1.0227235679587912,89.95215661982851
ferret,25048,1.020767450200502,90.97292407002902
cow,24980,1.0179962833762592,91.99092035340529
sheep,23480,0.9568676034297264,92.94778795683501
parakeet,15617,0.6364310631500016,93.58421901998501
weka,14733,0.6004058944348449,94.18462491441986
white_tailed_deer,11965,0.4876031037068432,94.6722280181267
pig,9782,0.39864049815798913,95.07086851628469
hare,9726,0.39635836077331854,95.46722687705801
bellbird,9506,0.3873928210478271,95.85461969810584
harrier,9134,0.37223290842108697,96.22685260652692
pukeko,8122,0.33099142568382617,96.55784403221074
dunnock,7406,0.3018126691226812,96.85965670133342
chaffinch,6236,0.2541322987643856,97.11378900009781
kereru,6228,0.25380627913800413,97.36759527923581
silvereye,5559,0.22654288788185048,97.59413816711766
chamois,5210,0.2123202816809572,97.80645844879862
sealion,4924,0.20066508003781827,98.00712352883644
pipit,3765,0.15343298666579727,98.16055651550224
yellow_eyed_penguin,3705,0.15098783946793598,98.31154435497017
weasel,3260,0.13285299775046458,98.44439735272063
fantail,2974,0.12119779610732566,98.56559514882795
tui,2910,0.1185896390962736,98.68418478792422
magpie,2895,0.11797835229680827,98.80216314022103
myna,2757,0.11235451374172725,98.91451765396275
greenfinch,2713,0.11056140579662896,99.02507905975938
yellowhammer,2504,0.10204414305741205,99.12712320281679
quail_brown,2412,0.09829491735402471,99.22541812017081
takahe,2407,0.09809115508753627,99.32350927525835
dog,1905,0.07763342353209664,99.40114269879044
tahr,1724,0.07025722948521501,99.47139992827566
starling,1686,0.06870863625990285,99.54010856453556
sparrow,1463,0.059620839174518304,99.59972940371007
goat,881,0.035902911355263585,99.63563231506534
human,817,0.03329475434421152,99.66892706940955
pateke,752,0.03064584487986177,99.6995729142894
moth,740,0.030156815440289506,99.7297297297297
banded_rail,729,0.029708538454014933,99.75943826818371
morepork,713,0.029056499201251914,99.78849476738496
chicken,570,0.023228898379682457,99.81172366576465
oystercatcher,535,0.02180256251426336,99.83352622827891
quail_california,355,0.014467120920679425,99.8479933491996
paradise_duck,318,0.01295928014866495,99.86095262934826
black_fronted_tern,306,0.012470250709092688,99.87342288005735
mallard,267,0.010880905030482835,99.88430378508784
goldfinch,237,0.009658331431552179,99.89396211651939
tieke,210,0.00855801519251459,99.90252013171191
banded_dotterel,194,0.007905975939751573,99.91042610765166
redpoll,190,0.007742966126560819,99.91816907377822
little_blue_penguin,189,0.00770221367326313,99.92587128745149
kaka,180,0.007335441593583934,99.93320672904507
fernbird,164,0.006683402340820917,99.9398901313859
shore_plover,154,0.006275877807844032,99.94616600919373
canada_goose,144,0.005868353274867147,99.9520343624686
spurwing_plover,141,0.005746095914974081,99.95778045838357
black_backed_gull,136,0.0055423336484856384,99.96332279203206
white_faced_heron,112,0.004564274769341114,99.9678870668014
pheasant,107,0.004360512502852671,99.97224757930425
lizard,77,0.003137938903922016,99.97538551820817
shag,76,0.0030971864506243274,99.9784827046588
brown_creeper,74,0.0030156815440289505,99.98149838620283
black_billed_gull,60,0.002445147197861311,99.98394353340069
wrybill,58,0.002363642291265934,99.98630717569196
crake,54,0.0022006324780751802,99.98850780817004
horse,53,0.0021598800247774916,99.99066768819482
skink,42,0.0017116030385029178,99.99237929123332
grey_warbler,33,0.0013448309588237211,99.99372412219215
rosella,25,0.001018811332442213,99.99474293352459
swan,23,0.0009373064258468359,99.99568023995043
fiordland_crested_penguin,18,0.0007335441593583934,99.99641378410979
plover,16,0.0006520392527630163,99.99706582336255
stilt,15,0.0006112867994653278,99.99767711016202
nz_falcon,15,0.0006112867994653278,99.99828839696148
long_tailed_cuckoo,12,0.0004890294395722623,99.99877742640106
mohua,8,0.00032601962638150817,99.99910344602745
kingfisher,7,0.00028526717308381965,99.99938871320053
grey_duck,5,0.0002037622664884426,99.99959247546703
spotted_dove,4,0.00016300981319075408,99.99975548528022
whitehead,2,8.150490659537704e-05,99.99983699018681
fluttering_shearwater,2,8.150490659537704e-05,99.9999184950934
grey_faced_petrol,1,4.075245329768852e-05,99.9999592475467
swallow,1,4.075245329768852e-05,100.0
